OBJECTID *,Shape *,Shape_Length,Shape_Area,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1,Polygon,2.640967,0.334223,Abra,PH140100000,<Null>,<Null>,<Null>,Cordillera Administrative Region,PH140000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
2,Polygon,3.674955,0.220065,Agusan del Norte,PH160200000,<Null>,<Null>,<Null>,Region XIII,PH160000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
3,Polygon,5.222636,0.693968,Agusan del Sur,PH160300000,<Null>,<Null>,<Null>,Region XIII,PH160000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
4,Polygon,4.626091,0.139664,Aklan,PH060400000,<Null>,<Null>,<Null>,Region VI,PH060000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
5,Polygon,6.507665,0.205939,Albay,PH050500000,<Null>,<Null>,<Null>,Region V,PH050000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
6,Polygon,6.045478,0.226467,Antique,PH060600000,<Null>,<Null>,<Null>,Region VI,PH060000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
7,Polygon,3.20701,0.340498,Apayao,PH148100000,<Null>,<Null>,<Null>,Cordillera Administrative Region,PH140000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
8,Polygon,6.75566,0.255767,Aurora,PH037700000,<Null>,<Null>,<Null>,Region III,PH030000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
9,Polygon,6.925803,0.09273,Basilan,PH150700000,<Null>,<Null>,<Null>,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
10,Polygon,2.661168,0.104455,Bataan,PH030800000,<Null>,<Null>,<Null>,Region III,PH030000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
11,Polygon,2.140564,0.017443,Batanes,PH020900000,<Null>,<Null>,<Null>,Region II,PH020000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
12,Polygon,5.989473,0.267317,Batangas,PH041000000,<Null>,<Null>,<Null>,Region IV-A,PH040000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
13,Polygon,2.194979,0.239829,Benguet,PH141100000,<Null>,<Null>,<Null>,Cordillera Administrative Region,PH140000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
14,Polygon,1.777047,0.044083,Biliran,PH087800000,<Null>,<Null>,<Null>,Region VIII,PH080000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
15,Polygon,9.713699,0.327235,Bohol,PH071200000,<Null>,<Null>,<Null>,Region VII,PH070000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
16,Polygon,5.019051,0.767607,Bukidnon,PH101300000,<Null>,<Null>,<Null>,Region X,PH100000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
17,Polygon,3.276276,0.227702,Bulacan,PH031400000,<Null>,<Null>,<Null>,Region III,PH030000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
18,Polygon,10.518335,0.750946,Cagayan,PH021500000,<Null>,<Null>,<Null>,Region II,PH020000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
19,Polygon,6.14392,0.177588,Camarines Norte,PH051600000,<Null>,<Null>,<Null>,Region V,PH050000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
20,Polygon,12.538796,0.441585,Camarines Sur,PH051700000,<Null>,<Null>,<Null>,Region V,PH050000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
21,Polygon,0.701328,0.019952,Camiguin,PH101800000,<Null>,<Null>,<Null>,Region X,PH100000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
22,Polygon,3.897668,0.21957,Capiz,PH061900000,<Null>,<Null>,<Null>,Region VI,PH060000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
23,Polygon,4.387798,0.122082,Catanduanes,PH052000000,<Null>,<Null>,<Null>,Region V,PH050000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
24,Polygon,2.702045,0.104289,Cavite,PH042100000,<Null>,<Null>,<Null>,Region IV-A,PH040000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
25,Polygon,13.022488,0.402044,Cebu,PH072200000,<Null>,<Null>,<Null>,Region VII,PH070000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
26,Polygon,1.231033,0.01798,City of Isabela,PH099700000,<Null>,<Null>,<Null>,Region IX,PH090000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
27,Polygon,4.059716,0.35655,Compostela Valley,PH118200000,<Null>,<Null>,<Null>,Region XI,PH110000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
28,Polygon,5.119876,0.479736,Cotabato,PH124700000,<Null>,<Null>,<Null>,Region XII,PH120000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
29,Polygon,0.6492,0.00705,Cotabato City,PH129800000,<Null>,<Null>,<Null>,Region XII,PH120000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
30,Polygon,4.877599,0.265921,Davao del Norte,PH112300000,<Null>,<Null>,<Null>,Region XI,PH110000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
31,Polygon,4.854203,0.34884,Davao del Sur,PH112400000,<Null>,<Null>,<Null>,Region XI,PH110000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
32,Polygon,4.375574,0.160157,Davao Occidental,PH118600000,<Null>,<Null>,<Null>,Region XI,PH110000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
33,Polygon,7.213797,0.408503,Davao Oriental,PH112500000,<Null>,<Null>,<Null>,Region XI,PH110000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
34,Polygon,5.247097,0.066418,Dinagat Islands,PH168500000,<Null>,<Null>,<Null>,Region XIII,PH160000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
35,Polygon,11.096878,0.352329,Eastern Samar,PH082600000,<Null>,<Null>,<Null>,Region VIII,PH080000000,Philippines (the),PH,6/30/2016,5/29/2020,<Null>
