Date and Time Downloaded : 05/04/2021 04:31:14 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000002","2","CEBU CITY MEDICAL CENTER","","","","Hospital","Government","Local Government Unit","","PANGANIBAN STREET NATALIO BACALSO AVE.","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CEBU CITY (Capital)","072217000","","","6000","+63 322540517","","+63 322531778","cebucitymedicalcenterofficial@yahoo.com","","www.cebucity.gov.ph","REPOSAR","ANTON OLIVER","A.","Chief of Hospital","With License","Level 1","98"
"DOH000000000000015","15","CALAPE MAIN HEALTH TB DOTS AND BIRTHING CENTER","CALAPE RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","CALAPE","071210000","DESAMPARADOS (POB.)","071210013","6328","+63 385079323"," "," "," "," "," ","RELAMPAGOS","MANUEL","N., II","Municipal Health Officer","","",""
"DOH000000000000016","16","DAGOHOY RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","DAGOHOY","071217000","POBLACION","071217011","6322","+63 385240036"," "," ","kimchaii14@hayoo.com"," "," ","RICAFORT","HERMOGENES","D., JR.","Municipal Health Officer","","",""
"DOH000000000000062","62","GUINDULMAN RURAL HEALTH UNIT ANAKANAN CENTER","GUINDULMAN RURAL HEALTH UNIT","GUINDULMAN RURAL HEALTH UNIT AND BIRTHING FACILITY","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","GUINDULMAN","071223000","SAWANG (POB.)","071223018","6310","+63 385100614","","","rhuguindulman01@gmail.com","","","LIAO","BALTAZAR FEDERICO","CHIU","Municipal Health Officer","","",""
"DOH000000000000068","68","BATUAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","BATUAN","071207000","POBLACION SUR","071207009","6318","+63 385339101"," ","+63 385339000"," "," "," ","TUMANDA","NENITA","D.","Municipal Health Officer","","",""
"DOH000000000000071","71","DUERO MUNICIPAL HEALTH OFFICE","","","","Municipal Health Office","Government","Local Government Unit","","PUROK 2","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","DUERO","071221000","SAN PEDRO","071221019","6309","+63 385301002","","+63 385301002","mhoduero@gmail.com","","","TABIGUE","DARIUS JULIUS","FOSTANES","Municipal Health Officer","Not Applicable","",""
"DOH000000000000072","72","TRINIDAD RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","TRINIDAD","071244000","POBLACION","071244015","6324"," "," "," ","mhotrinidad@yahoo.com"," "," ","AUZA","ANALITA","NGOBOC","Municipal Health Officer","","",""
"DOH000000000000073","73","JAGNA RURAL HEALTH UNIT I","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","JAGNA","071225000","POBLACION (PONDOL)","071225030","6308","+63 322382327","","+63 322382327","jagnarhu1@yahoo.com","","","CAGULADA","ARNOLD DASIO","M","Municipal Health Officer","","",""
"DOH000000000000074","74","SAN MIGUEL MUNICIPAL HEALTH OFFICE","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","SAN MIGUEL","071238000","POBLACION","071238014","6323","","","","ccorevillo@gmail.com","","","JABONE","DELBERT","A.","Municipal Health Officer","","",""
"DOH000000000000114","114","SEVILLA MUNICIPAL HEALTH OFFICE","SEVILLA RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","SEVILLA","071239000","POBLACION","071239014","6347"," "," "," "," "," "," ","TABEL","JESSIE","J","Municipal Health Officer","","",""
"DOH000000000000206","206","MABINI RURAL HEALTH UNIT AND BIRTHING CENTER","MABINI RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","MABINI","071231000","POBLACION I","071231015","6313"," "," "," ","rhumabini@gmail.com","rhumabini@yahoo.com"," ","PADERNAL","IVY","A.","Municipal Health Officer","","",""
"DOH000000000000219","219","TORIBIA BADILLA-EVASCO MEMORIAL HEALTH CENTER","MARIBOJOC RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","MARIBOJOC","071232000","POBLACION","071232016","6336","","","","tbemhc.maribojoc36@gmail.com","","","BELDEROL","REY PERPETUO","G.","Municipal Health Officer","","",""
"DOH000000000000221","221","BARILI DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","BARILI","072210000","MAGHANOY","072210024","6036","+63 324709026","+63 324709040","+63 324709026","barilidistricthospitalbarili@yahoo.com","","","DE LEON","JOSE","C.","Chief of Hospital","With License","","25"
"DOH000000000000223","223","CANLAON DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","CANLAON CITY","074608000","MABIGO (POB.)","074608009","6223","+63 354140081","","","canlaondistricthospital@gmail.com","","","ESTACIO","LILAND ZOILA","B.","Chief of Hospital","With License","","10"
"DOH000000000000224","224","DAANBANTAYAN DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","DAANBANTAYAN","072221000","PAJO","072221014","6013","+63 324378061","","+63 324378061","ddhcebuprovince@gmail.com","","","TULAYAN","CHRISTINE IRIS","E.","Chief of Hospital","With License","","10"
"DOH000000000000225","225","OSLOB DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","OSLOB","072235000","LAGUNDE","072235014","6025","+63 324819985","","+63 324819986","oslobdh@yahoo.com","","","CAIRO","RENATO","M.","Chief of Hospital","With License","","10"
"DOH000000000000233","233","TOLEDO CITY GENERAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","MAGSAYSAY HILLS","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","TOLEDO CITY","072251000","","","6038","+63 323225881","+63 324664204","+63 323225881","tcgh.gov@gmail.com","","","BEQUILLA","CLYDE VINCENT","","Chief of Hospital","With License","","12"
"DOH000000000000234","234","BINDOY DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","NEGROS ORIENTAL","074600000","BINDOY (PAYABON)","074607000","TINAOGAN","074607021","6209","+63 354005409","","","bindoydistrict_hospital@yahoo.com","","","LUCHANA","TRIFONY","D","Chief of Hospital","With License","","25"
"DOH000000000000244","244","SANTA ROSA COMMUNITY HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","LAPU-LAPU CITY (OPON)","072226000","TALIMA","072226028","6015","+63 324926033","","","santarosasrch@hotmail.com","","","SEMBLANTE","JOEL","","Chief of Hospital","With License","","10"
"DOH000000000000264","264","CONG. SIMEON G. TORIBIO MEMORIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","CARMEN","071212000","POBLACION SUR","071212024","6319","+63 385259081","","","carmenhospital68@yahoo.com","","","TALLO","MA/ CYRILDA","B.","Chief of Hospital","With License","Level 1","40"
"DOH000000000000300","300","DR. ILDEFONSO ALCANTARA MEMORIAL HOSPITAL","","","","Hospital","Private","","","SARMIENTO STREET","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","DALAGUETE","072222000","POBLACION","072222029","6022","+63 324848223","","","ilde_alc@yahoo.com.ph","","","ALCANTARA","ENSONACION","H.","Chief of Hospital","With License","Level 1","15"
"DOH000000000000379","379","TAGBILARAN COMMUNITY HOSPITAL CORP.","","","","Hospital","Private","","","0117 M. PARRAS STREET","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","TAGBILARAN CITY (Capital)","071242000","POBLACION III","071242012","6300","+63 384113324","+63 38 4113191","+63 384114815","","","","INTING","PURA","S.","Medical Director","With License","Level 2","58"
"DOH000000000000391","391","CEBU METRO PSYCH FACILITY"," "," "," ","Hospital","Private"," "," ","UPPER MALIBU BEACH STREET"," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","MANDAUE CITY","072230000","SUBANGDAKU","072230022","6014","+63 323442142"," "," "," "," "," "," "," "," "," ","Without License","",""
"DOH000000000000464","464","CEBU PROVINCIAL HOSPITAL (DANAO CITY)","DANAO CITY DISTRICT HOSPITAL","","","Hospital","Government","Local Government Unit","","NATIONAL ROAD","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","DANAO CITY","072223000","","","6004","+63 322620823","","","","","","MANUBAG","PRUDENCIO","I","Chief of Hospital","With License","Level 1","50"
"DOH000000000000545","545","FRANCISCO DAGOHOY MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","INABANGA","071224000","CAGAYAN","071224011","6332","+63 385129013","","+63 385129014","fdmh85@yahoo.com","","","TORREFRANCA","VICTOR ALLAN","A.","Chief of Hospital","With License","","10"
"DOH000000000000583","583","CEBU PROVINCIAL HOSPITAL (CARCAR CITY)","JESUS M. PARAZ MEMORIAL HOSPITAL","","","Hospital","Government","Local Government Unit","","BARACA STREET","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CITY OF CARCAR","072214000","","","6019","+63 324878120","+63 324878952","","cphcarcar@yahoo.com","","","MANUBAG","PRUDENCIO","I.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000744","744","AMOSUP SEAMEN'S HOSPITAL - CEBU","","","","Hospital","Private","","","CAMINO VICINAL STREET","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","MANDAUE CITY","072230000","UMAPAD","072230027","6014","+63 322366871","","+63 323462598","","","","ALCANTARA","TEODOSIO","F.","Chief of Hospital","With License","Level 2",""
"DOH000000000000777","777","SAINT VINCENT GENERAL HOSPITAL CEBU, INC.","","","","Hospital","Private","","","210-D OSMEÑA BOULEVARD EXTENSION","","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","CEBU CITY (Capital)","072217000","SAMBAG I (POB.)","072217064","6000","+63 322380000","","+63 324155774","sv_hospital@svgh.ph","","www.svgh.ph","MONTOYA","MARIA MELFER","R.","Medical Director","With License","Level 2","140"
"DOH000000000000836","836","COMPOSTELA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","CEBU","072200000","COMPOSTELA","072218000","POBLACION","072218014","6003","+63 324258084"," "," "," "," "," ","ECHIN","VINCENT","E","Municipal Health Officer","","",""
"DOH000000000000845","845","DIMIAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VII (CENTRAL VISAYAS)","070000000","BOHOL","071200000","DIMIAO","071220000","SAWANG","071220030","6305"," "," "," "," "," "," ","ROSELL","PEDRO, JR.","N.","Municipal Health Officer","","",""
