Date and Time Downloaded : 05/04/2021 04:29:42 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000013","13","MURPHY SUPER HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","2ND FLOOR 18TH AVENUE"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","SAN ROQUE","137404102"," "," "," "," "," "," "," ","FLORENDO","BERNARDO","A.","Rural Health Physician","","",""
"DOH000000000000021","21","BERNARDO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ERMIN GARCIA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","PINAGKAISAHAN","137404083"," "," "," "," ","bernardohealthcenter@yahoo.com"," "," ","BERNARDO","MARIA MELINDA"," ","Rural Health Physician","","",""
"DOH000000000000022","22","SAUYO HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GREENVILLE SUBDIVISION"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","SAUYO","137404111"," ","+63 024532625"," "," ","sauyohealthcenter@yahoo.com.ph"," "," ","ALLI","MARIA LEDA","C.","Rural Health Physician","","",""
"DOH000000000000102","102","PAYATAS B HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","17 BULACAN STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","PAYATAS","137404138"," "," "," "," "," "," "," ","DIZON","ELMIRA","S.","Rural Health Physician","","",""
"DOH000000000000138","138","BAGONG SILANGAN HEALTH CENTER","BAGONG SILANG HEALTH CENTER"," "," ","Rural Health Unit","Government","Local Government Unit"," ","A. BONIFACIO STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","BAGONG SILANGAN","137404010"," "," "," "," "," "," "," ","PAULINO","JOSELITO","R.","Rural Health Physician","","",""
"DOH000000000000140","140","KALAYAAN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","97 GUIRAYAN STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","DOÑA IMELDA","137404031"," "," "," "," ","kalayaanimelda@yahoo.com"," "," ","ANTALAN","ANNIE LYNN","P.","Rural Health Physician","","",""
"DOH000000000000145","145","VETERANS HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","6 FAUSTINO STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","HOLY SPIRIT","137404140"," "," "," "," ","eleanorvelasco@md.com"," "," ","VELASCO","ELEANOR","N.","Rural Health Physician","","",""
"DOH000000000000177","177","SANTOLAN SUPER HEALTH CENTER","SANTOLAN HEALTH CENTER"," "," ","Rural Health Unit","Government","Local Government Unit"," ","EVANGELISTA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","SANTOLAN","137403027"," "," "," "," ","santolan_shc@yahoo.com"," "," ","ARQUERO","PETRONILA"," ","Rural Health Physician","","",""
"DOH000000000000178","178","DELA PAZ HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","F. MARIANO COMPREY LANE STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF PASIG","137403000","DELA PAZ","137403006"," ","+63 026452331"," ","+63 027487172"," "," "," ","ARIMAO","SITTIE NORAISA"," ","Rural Health Physician","","",""
"DOH000000000000196","196","BARANGKA ILAYA HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","PINATUBO STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MANDALUYONG","137401000","BARANGKA ILAYA","137401005","1550","+63 025146477","","","","","","ARCANGEL","DELIA","","Medical Officer","","",""
"DOH000000000000197","197","CONCEPCION DOS HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","CORNER LILAC STREET AND RAINBOW STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MARIKINA","137402000","CONCEPCION DOS","137402012"," ","+63 029420563"," "," "," "," "," ","MAGNO","MARIAN"," ","Rural Health Physician","","",""
"DOH000000000000199","199","MAYOR MOISES R. FLORES MEMORIAL HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","P. HERRERA STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","PATEROS","137606000","SAN PEDRO","137606005"," ","+63 026433486"," ","+63 026413256"," "," ","www.pateros.gov.ph","RAYMUNDO","RONALD","CABIGAS","Rural Health Physician","","",""
"DOH000000000000200","200","PEOPLE'S HEALTH CENTER","PEOPLE'S HEALTH CENTER AND LYING IN CLINIC","","","Rural Health Unit","Government","Local Government Unit","","SAN JOSE STREET","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MANDALUYONG","137401000","HULO","137401014","1550","","","","","","","JULIAN","ROY","A","Medical Officer","","",""
"DOH000000000000201","201","QUINTIN DE BORJA HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","E. QUIOGUE STREET"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","PATEROS","137606000","AGUHO","137606001"," ","+63 026424783"," ","+63 026413256"," "," ","www.pateros.gov.ph","ISON","CARMENCITA","PEREZ","Rural Health Physician","","",""
"DOH000000000000202","202","TAÑONG HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ROAD 1"," ","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","CITY OF MARIKINA","137402000","TAÑONG","137402011"," ","+63 029485775"," "," "," "," "," ","PACULAN","JENINE ANGELA"," ","Rural Health Physician","","",""
"DOH000000000000403","403","ALABANG MEDICAL CENTER","","","","Hospital","Private","","","ALABANG-ZAPOTE ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MUNTINLUPA","137603000","ALABANG","137603001","","+63 028078189","","+63 0288078189","alabangmedcenter@gmail.com","","","TY","ANITA","N.","Medical Director","With License","Level 1","18"
"DOH000000000000410","410","ASIAN HOSPITAL INC.","ASIAN HOSPITAL AND MEDICAL CENTER","","","Hospital","Private","","","2205 CIVIC DRIVE, FILINVEST CORPORATE CITY","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, FOURTH DISTRICT (Not a Province)","137600000","CITY OF MUNTINLUPA","137603000","ALABANG","137603001","","+63 027719000","","+63 028765710","info@asianhospital.com","","","ACUIN","JOSE","M.","Medical Director","With License","Level 3","296"
"DOH000000000000429","429","BERMUDEZ POLYMEDIC HOSPITAL","BERMUDEZ POLYCLINIC HOSPITAL, INC","","","Hospital","Private","","","391 MALARIA ROAD, ZONE 6 DISTRICT 1 TALA","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, THIRD DISTRICT (Not a Province)","137500000","CALOOCAN CITY","137501000","BARANGAY 185","137501185","140","+63 029613229","","","bermudezhospital@yahoo.com.ph","","","BERMUDEZ","ELISEO","A.","Chief of Hospital","With License","Level 1","20"
"DOH000000000000430","430","BERNARDINO GENERAL HOSPITAL II","","","","Hospital","Private","","","BLOCK 1, LOT 2, NORTH OLYMPUS SUBDIVISION, ZABARTE ROAD","","NATIONAL CAPITAL REGION (NCR)","130000000","NCR, SECOND DISTRICT (Not a Province)","137400000","QUEZON CITY","137404000","KALIGAYAHAN","137404046","","+63 0289355262","+63 0289398050","+63 029371180","admbgh2@gmail.com","","","CASTRO","BU","C.","Medical Director","With License","Level 1","35"
