Date and Time Downloaded : 05/04/2021 03:44:00 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000003","3","DON LEOVIGILDO N. DIAPO SR. MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","060000000","AKLAN","060400000","MADALAG","060410000","POBLACION","060410020","5603","+63 362723615","+63 362723613","","","","","FUENTES","STEVENS","","Chief of Hospital","With License","","10"
"DOH000000000000014","14","TOBIAS FORNIER RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","060000000","ANTIQUE","060600000","TOBIAS FORNIER (DAO)","060607000","POBLACION NORTE","060607037","5716","","","","mhotobiasfornier@gmail.com","","","RUBINOS","ENCARNACION","A.","Municipal Health Officer","","",""
"DOH000000000000040","40","MIAG-AO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","MUEDA STREET","","REGION VI (WESTERN VISAYAS)","060000000","ILOILO","063000000","MIAGAO","063030000","BAYBAY SUR (POB.)","063030016","5023","+63 333152215","","","","","","GELLADA","JESSEL","COLLADA","Municipal Health Officer","","",""
"DOH000000000000041","41","TANGALAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","SAN JUAN STREET","","REGION VI (WESTERN VISAYAS)","060000000","AKLAN","060400000","TANGALAN","060417000","POBLACION","060417009","5612","+63 362722032","","+63 362722032","rhutangalan@yahoo.com","","","FUENTES","SUMNER","TOSCO","Municipal Health Officer","","",""
"DOH000000000000055","55","BATAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VI (WESTERN VISAYAS)","060000000","AKLAN","060400000","BATAN","060404000","POBLACION","060404018","5615","+63 362723427"," "," "," "," "," ","REFOL","KATHRYNE","B.","Municipal Health Officer","","",""
"DOH000000000000061","61","SAN MIGUEL RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","ROXAS STREET","","REGION VI (WESTERN VISAYAS)","060000000","ILOILO","063000000","SAN MIGUEL","063041000","BGY. 1 POB. (ROXAS ST.)","063041001","5025","+63 333310768","","","","","","GIMENO","MARY JANE","SANCIO","Rural Health Physician","","",""
"DOH000000000000069","69","PANDAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VI (WESTERN VISAYAS)","060000000","ANTIQUE","060600000","PANDAN","060611000","CENTRO NORTE (POB.)","060611026","5712","+63 362789222","","+63 362789128","rhu_pandan@yahoo.com","","","ESTOPEREZ","JUDY","M.","Municipal Health Officer","","",""
"DOH000000000000100","100","HAMTIC RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","TITO NAVA STREET","","REGION VI (WESTERN VISAYAS)","060000000","ANTIQUE","060600000","HAMTIC","060608000","POBLACION  3","060608047","5715","","","","rhu_hamtic@yahoo.com.ph","","","PACIFICADOR","MA. EVA","D.","Municipal Health Officer","","",""
"DOH000000000000107","107","PONTEVEDRA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","BENLIRO STREET","","REGION VI (WESTERN VISAYAS)","060000000","CAPIZ","061900000","PONTEVEDRA","061912000","TACAS","061912026","5802","+63 366340220","","+63 366340599","pontevedrarhu@yahoo.com","pontevedrarhu@gmail.com","","NOLASCO","MARIZEN","VISTA","Municipal Health Officer","","",""
"DOH000000000000109","109","IBAJAY RURAL HEALTH UNIT I AND BIRTHING CENTER","","","","Rural Health Unit","Government","Local Government Unit","","BRAULIO MANIKAN STREET","","REGION VI (WESTERN VISAYAS)","060000000","AKLAN","060400000","IBAJAY","060406000","NAILE","060406020","5613","+63 362892073","","+63 362892495","preciouspelayo@gmail.com","","","LASERNA","MAY NORALYN","SALIDO","Rural Health Physician","","",""
